Page,Section,Role,Item,Calories,Fat_g,SatFat_g,TransFat_g,Chol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,Allergens
1,BREAKFAST HASHBROWN BOWLS,includes,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy.
1,BREAKFAST HASHBROWN BOWLS,main,Chicken Sausage,180,13,4,0,75,700,0,0,0,14,
1,BREAKFAST HASHBROWN BOWLS,main,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy."
1,BREAKFAST HASHBROWN BOWLS,main,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy."
1,BREAKFAST HASHBROWN BOWLS,main,Bacon Egg & Cheese Hashbrown Bowl,795,49,19,1,393,1531,62,6,3,32,
1,BREAKFAST HASHBROWN BOWLS,includes,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy.
1,BREAKFAST HASHBROWN BOWLS,main,Bacon,135,12,5,0,30,375,0,0,0,9,
1,BREAKFAST HASHBROWN BOWLS,main,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy."
1,BREAKFAST HASHBROWN BOWLS,main,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy."
1,BREAKFAST HASHBROWN BOWLS,main,Ham Egg & Cheese Hashbrown Bowl,800,43,16,1,413,2416,66,6,5,41,
1,BREAKFAST HASHBROWN BOWLS,includes,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy.
1,BREAKFAST HASHBROWN BOWLS,main,Diced Ham,140,6,2,0,50,1260,4,0,2,18,
1,BREAKFAST HASHBROWN BOWLS,main,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy."
1,BREAKFAST HASHBROWN BOWLS,main,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy."
2,EGG BREAKFASTS,main,2 Egg Breakfast: 2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy."
2,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
2,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
2,EGG BREAKFASTS,main,Cheese 'N Eggs: 2 Scrambled Eggs with Cheese,280,23,9,1,363,676,4,0,3,17,"Egg, Milk, Soy."
2,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
2,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
2,EGG BREAKFASTS,main,T-Bone & Eggs: T-Bone Steak and 2 Eggs - Scrambled,600,43,15,1,453,436,2,0,2,49,"Egg, Soy."
2,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
2,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
2,EGG BREAKFASTS,main,Steak & Eggs: Delmonico Steak and 2 Eggs - Scrambled,480,28,9,2,473,636,2,0,2,53,"Egg, Soy."
2,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
2,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
2,EGG BREAKFASTS,main,Country Ham & Eggs: Country Ham and 2 Eggs - Scrambled,370,23,7,1,433,2286,3,0,3,37,"Egg, Soy."
2,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
2,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
2,EGG BREAKFASTS,main,Chicken & Eggs: Grilled Chicken and 2 Eggs - Scrambled,310,15,4,1,418,1106,4,0,2,41,"Egg, Soy."
2,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
2,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
2,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
2,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
3,EGG BREAKFASTS,main,Meat Lover's Chicken & Eggs: 2 Pieces of Grilled Chicken and 2 Eggs - Scrambled,440,16,4,1,498,2036,6,0,2,70,"Egg, Soy."
3,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
3,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
3,EGG BREAKFASTS,main,Pork Chops & Eggs: 2 Grilled Pork Chops and 2 Eggs - Scrambled,520,28,9,1,478,1216,2,0,2,64,"Egg, Soy."
3,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
3,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
3,EGG BREAKFASTS,main,Meat Lover's Pork Chops & Eggs: 3 Grilled Pork Chops and 2 Eggs - Scrambled,690,35,12,1,548,1736,2,0,2,90,"Egg, Soy."
3,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
3,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
3,EGG BREAKFASTS,main,Cheesesteak & Eggs: Cheesesteak and 2 Eggs - Scrambled,310,21,7,1,388,476,2,0,2,28,"Egg, Soy."
3,EGG BREAKFASTS,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
3,EGG BREAKFASTS,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
3,EGG BREAKFASTS,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
3,EGG BREAKFASTS,main,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
3,EGG BREAKFASTS,main,"Fiesta Protein Bowl: Grilled Chicken, 3 Eggs - Scrambled, 2 Cheese, 1 OPT",530,31,11,1,612,2084,14,1,6,52,"Egg, Soy."
3,Waffles,main,Classic Waffle House Waffle,410,18,10,0,50,870,55,2,15,8,"Egg, Milk, Soy, Tree Nuts, Wheat."
3,Waffles,main,Pecans,150,15,2,0,0,0,3,2,1,2,Tree Nuts.
3,Waffles,main,Chocolate Chips,95,5,3,0,0,0,14,1,11,1,Soy.
3,Waffles,main,Blueberry Nougat,98,2,3,1,0,8,13,0,9,1,"Milk, Soy, Wheat"
3,Waffles,main,Peanut Butter Chips,113,6,5,0,0,71,13,1,12,2,"Milk, Peanut, Soy."
4,Hashbrowns and Toppings,main,Waffle House Regular,190,7,3,0,0,240,29,3,0,3,Soy.
4,Hashbrowns and Toppings,main,Hashbrowns: Large,380,14,5,0,0,480,58,6,0,6,Soy.
4,Hashbrowns and Toppings,main,Triple,570,21,8,0,0,720,87,9,0,9,Soy.
4,Hashbrowns and Toppings,main,Sautéed Onions,15,0,0,0,0,0,3,1,1,0,
4,Hashbrowns and Toppings,main,Melted American Cheese,50,5,3,0,13,250,1,0,1,3,"Milk, Soy."
4,Hashbrowns and Toppings,main,Hickory Smoked Ham,70,3,1,0,25,630,2,0,1,9,
4,Hashbrowns and Toppings,main,Grilled Tomatoes,5,0,0,0,0,0,2,0,1,0,
4,Hashbrowns and Toppings,main,Jalapeno Peppers,10,0,0,0,0,390,2,0,0,0,
4,Hashbrowns and Toppings,main,Grilled Mushrooms,10,0,0,0,0,140,2,1,1,1,
4,Hashbrowns and Toppings,main,Bert's Chili™,55,2,1,0,5,260,6,2,1,5,"Milk, Soy, Wheat."
4,Hashbrowns and Toppings,main,Sausage Gravy - 3 oz,75,18,2,0,4,385,8,0,0,1,"Egg, Milk, Soy, Wheat."
4,Breakfast Sides,main,Bacon,135,12,5,0,30,375,0,0,0,9,
4,Breakfast Sides,main,Large Bacon,225,20,8,0,50,625,0,0,0,15,
4,Breakfast Sides,main,Sausage,260,24,8,0,50,510,1,0,0,10,
4,Breakfast Sides,main,Large Sausage,390,36,12,0,75,765,2,0,0,15,
4,Breakfast Sides,main,Chicken Sausage,180,13,4,0,75,700,0,0,0,14,
4,Breakfast Sides,main,City Ham,100,3,1,0,40,850,7,0,6,14,
4,Breakfast Sides,main,Country Ham,190,9,3,0,95,2110,1,0,1,25,
4,Breakfast Sides,main,Biscuit & Sausage Gravy,375,33,11,0,4,1185,42,1,2,6,"Egg, Milk, Soy, Wheat."
4,Breakfast Sides,main,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
4,Breakfast Sides,main,Cheese Grits,140,7,3,0,13,550,17,1,1,6,"Egg, Milk, Soy, Wheat."
4,Breakfast Sides,main,Tomatoes,10,0,0,0,0,0,2,1,2,1,
4,Breakfast Sides,main,Sausage Egg & Cheese Grits Bowl,720,52,18,1,413,1786,37,2,3,33,"Egg, Milk, Soy, Wheat."
4,Breakfast Sides,main,Chicken Sausage Egg & Cheese Grits Bowl,640,41,14,1,438,1976,36,2,3,37,
4,Breakfast Sides,main,Bacon Egg & Cheese Grits Bowl,595,40,15,1,393,1651,36,2,3,32,"Egg, Milk, Soy, Wheat."
4,Breakfast Sides,main,Ham Egg & Cheese Grits Bowl,600,34,12,1,413,2536,40,2,5,41,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,main,Sausage Egg & Cheese Biscuit,570,39,18,0,207,1393,37,1,4,19,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,main,Chicken Sausage Egg & Cheese Biscuit,530,33,15,0,219,1488,36,1,4,21,
4,Grilled Biscuits,main,Bacon Egg & Cheese Biscuit,530,35,17,0,202,1388,36,1,4,20,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,main,Chicken Biscuit,430,16,9,0,80,1730,36,1,2,34,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,main,Bacon Biscuit,390,23,12,0,20,1050,34,1,2,11,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,main,Sausage Biscuit,430,27,13,0,25,1055,35,1,2,10,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,main,Chicken Sausage Biscuit,390,22,11,0,38,1150,34,1,2,12,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,main,City Ham Biscuit (1),400,33,19,0,40,2450,75,2,10,24,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,add-on,American Cheese - 1 slice,50,5,2.5,0,12.5,250,1,0,1,2.5,"Milk, Soy."
4,Grilled Biscuits,main,1 Egg - Scrambled,90,7,2,0,169,88,1,0,1,6,"Egg, Soy."
4,Grilled Biscuits,main,Country Ham Biscuits (2),790,39,21,0,95,3710,69,2,5,35,"Egg, Milk, Soy, Wheat."
4,Grilled Biscuits,add-on,American Cheese - 2 slices,100,9,5,0,25,500,2,0,1,5,"Milk, Soy."
4,Grilled Biscuits,main,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy."
5,Breakfast Sandwiches and Melts,main,Egg Sandwich,220,9,2,0,169,348,26,1,4,10,"Egg, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,Egg & Cheese Sandwich,270,13,5,0,182,598,27,1,5,13,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,Texas Egg & Cheese Melt,390,18,7,0,194,968,41,2,6,17,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,Sausage Sandwich,390,26,8,0,50,770,26,1,3,14,Soy Wheat.
5,Breakfast Sandwiches and Melts,main,Sausage & Egg Sandwich,480,33,10,0,219,858,27,1,4,20,"Egg, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,"Sausage, Egg & Cheese Sandwich",530,37,13,0,232,1108,28,1,5,23,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,"Texas Sausage, Egg & Cheese Melt",650,42,15,0,244,1478,42,2,6,27,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,Chicken Sausage Sandwich,310,15,4,0,75,960,25,1,3,18,Soy Wheat.
5,Breakfast Sandwiches and Melts,main,Chicken Sausage & Egg Sandwich,400,22,6,0,244,1048,26,1,4,24,"Egg, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,"Chicken Sausage, Egg & Cheese Sandwich",450,26,8,0,257,1298,27,1,5,27,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,"Texas Chicken Sausage, Egg & Cheese Melt",570,31,11,0,269,1668,41,2,6,31,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,Bacon Sandwich,265,14,5,0,30,635,25,1,3,13,Soy Wheat.
5,Breakfast Sandwiches and Melts,main,Bacon & Egg Sandwich,355,21,7,0,199,723,26,1,4,19,"Egg, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,"Bacon, Egg & Cheese Sandwich",405,25,9,0,212,973,27,1,5,22,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,"Texas Bacon, Egg & Cheese Melt",525,30,12,0,224,1343,41,2,6,26,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,Grilled Ham Sandwich,230,4,1,0,40,1110,32,1,9,18,Soy Wheat.
5,Breakfast Sandwiches and Melts,main,Ham & Egg Sandwich,320,11,3,0,209,1198,33,1,10,24,"Egg, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,"Ham, Egg & Cheese Sandwich",370,16,5,0,222,1448,34,1,11,27,"Egg, Milk, Soy, Wheat."
5,Breakfast Sandwiches and Melts,main,"Texas Ham, Egg & Cheese Melt",490,21,8,0,234,1818,48,2,12,31,"Egg, Milk, Soy, Wheat."
5,Kids Meals,main,Kids Waffle with Bacon or Sausage: Waffle,410,18,10,0,50,870,55,2,15,8,"Egg, Milk, Soy, Tree Nuts, Wheat."
5,Kids Meals,choice,Kid's Bacon,90,8,3,0,20,250,0,0,0,6,
5,Kids Meals,main,Kid's Sausage,130,12,4,0,25,255,1,0,0,5,
5,Kids Meals,main,Kid's Chicken Sausage,90,7,2,0,38,350,0,0,0,7,
5,Kids Meals,main,Kid's 1 Egg Breakfast with Bacon or Sausage: 1 Egg Scrambled,90,7,2,0,169,88,1,0,1,6,"Egg, Soy."
5,Kids Meals,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
5,Kids Meals,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
5,Kids Meals,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
5,Kids Meals,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
5,Kids Meals,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
5,Kids Meals,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
5,Kids Meals,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
5,Kids Meals,main,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
5,Kids Meals,choice,Kid's Bacon,90,8,3,0,20,250,0,0,0,6,
5,Kids Meals,main,Kid's Sausage,130,12,4,0,25,255,1,0,0,5,
5,Kids Meals,main,Kid's Chicken Sausage,90,7,2,0,38,350,0,0,0,7,
6,Toddle House Omelet Breakfasts,main,Cheese Omelet Breakfast: 2 Egg Cheese Omelet,280,23,9,1,363,676,4,0,3,17,"Milk, Egg, Soy."
6,Toddle House Omelet Breakfasts,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,choice,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,main,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy.
6,Toddle House Omelet Breakfasts,main,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
6,Toddle House Omelet Breakfasts,main,Ham & Cheese Omelet Breakfast: 2 Egg Ham & Cheese Omelet,350,26,10,1,388,1306,6,0,4,26,"Milk, Egg, Soy."
6,Toddle House Omelet Breakfasts,main,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,main,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,choice,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,main,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat."
6,Toddle House Omelet Breakfasts,main,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat."
